127.0.0.1 - - [03/Feb/2018:16:03:08 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:16 +0800] "GET /index.do HTTP/1.1" 200 1739
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:16 +0800] "GET /jsutils/qingniao/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:16 +0800] "GET /jsutils/common/css/jquery.validate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:16 +0800] "GET /jsutils/fckeditor/fckeditor.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:16 +0800] "GET /jsutils/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:16 +0800] "GET /jsutils/common/css/jquery.treeview.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:16 +0800] "GET /jsutils/common/css/jquery.ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:16 +0800] "GET /jsutils/common/css/theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:16 +0800] "GET /jsutils/qingniao/js/admin.js HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:16 +0800] "GET /jsutils/common/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:16 +0800] "GET /jsutils/common/js/jquery.form.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:16 +0800] "GET /jsutils/common/js/qingniao.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:16 +0800] "GET /jsutils/common/js/jquery.ext.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:16 +0800] "GET /top.do HTTP/1.1" 200 1828
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:16 +0800] "GET /main.do HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:16 +0800] "GET /jsutils/qingniao/img/admin/top-tbg.png HTTP/1.1" 200 1573
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:16 +0800] "GET /jsutils/qingniao/img/admin/nav-left.png HTTP/1.1" 200 1387
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:16 +0800] "GET /jsutils/qingniao/img/admin/bg.png HTTP/1.1" 200 1786
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:16 +0800] "GET /jsutils/qingniao/img/admin/step.png HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:16 +0800] "GET /jsutils/qingniao/img/admin/topbg.gif HTTP/1.1" 200 13500
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:16 +0800] "GET /jsutils/qingniao/img/admin/loginout-icon.png HTTP/1.1" 200 1375
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:16 +0800] "GET /jsutils/qingniao/img/admin/welconlogin-icon.png HTTP/1.1" 200 1336
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:16 +0800] "GET /right.do HTTP/1.1" 200 1697
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:16 +0800] "GET /jsutils/qingniao/img/admin/navcurrbg.gif HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:16 +0800] "GET /jsutils/qingniao/img/admin/logo.jpg HTTP/1.1" 200 15375
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:16 +0800] "GET /left.do HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:16 +0800] "GET /jsutils/qingniao/img/admin/icon.png HTTP/1.1" 200 2394
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:16 +0800] "GET /jsutils/img/com/date.gif HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:16 +0800] "GET /jsutils/qingniao/img/admin/jeecms.png HTTP/1.1" 200 6877
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:16 +0800] "GET /jsutils/qingniao/img/admin/welcome.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:16 +0800] "GET /jsutils/qingniao/img/admin/lbg.jpg HTTP/1.1" 200 8186
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:16 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:19 +0800] "GET /productMain.do HTTP/1.1" 200 573
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:19 +0800] "GET /productLeft.do HTTP/1.1" 200 819
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:20 +0800] "GET /product/list.do HTTP/1.1" 200 1914
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:20 +0800] "GET /jsutils/common/img/theme/button.png HTTP/1.1" 200 35222
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:20 +0800] "GET /jsutils/common/img/theme/tit-tdbg.png HTTP/1.1" 200 2863
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:20 +0800] "GET /jsutils/common/img/theme/del-button.png HTTP/1.1" 200 4377
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:21 +0800] "GET /product/toadd.do HTTP/1.1" 200 3005
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:21 +0800] "GET /jsutils/qingniao/img/admin/bg_ch.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:21 +0800] "GET /jsutils/common/img/theme/theme-button.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:44 +0800] "POST /upload/imgUploadToFastDFS.do HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:45 +0800] "GET /jsutils/fckeditor/editor/fckeditor.html?InstanceName=productdesc&Toolbar=Default HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:45 +0800] "GET /jsutils/fckeditor/editor/images/spacer.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:45 +0800] "GET /jsutils/fckeditor/fckconfig.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:45 +0800] "GET /jsutils/fckeditor/editor/js/fckeditorcode_gecko.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:45 +0800] "GET /jsutils/fckeditor/editor/skins/default/fck_editor.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:45 +0800] "GET /jsutils/fckeditor/editor/lang/zh-cn.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:45 +0800] "GET /jsutils/fckeditor/fckstyles.xml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2018:16:03:45 +0800] "GET /jsutils/fckeditor/editor/css/fck_editorarea.css HTTP/1.1" 304 -
